head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,impl,spread,tensor_mode,position_sets,fresh_args,distinct_slots_per_request,device_median_ms,device_min_ms,amortized_call_ms,device_median_ratio,amortized_call_ratio
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,1,shared,8,True,1,0.09004800021648407,0.08582399785518646,0.0770306948106736,1.0,1.0
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,1,shared,8,True,1,0.030112000182271004,0.029023999348282814,0.022384464973583817,1.0,1.0
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,1,shared,8,True,1,0.010751999914646149,0.0063680000603199005,0.006121729966253042,1.0,1.0
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,1,distinct,8,True,1,0.0902240015566349,0.08064000308513641,0.0779932551085949,1.0019545280264714,1.0124958018396055
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,1,distinct,8,True,1,0.02969600073993206,0.02848000079393387,0.022523225052282214,0.9861849282737495,1.0061989455125306
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,1,distinct,8,True,1,0.010688000358641148,0.0066559999249875546,0.005950304912403226,0.9940476602945446,0.9719972859314568
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,2,distinct,8,True,2,0.08975999802350998,0.08777599781751633,0.07736617582850158,0.9968016814112284,1.0043551602209033
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,2,distinct,8,True,2,0.029279999434947968,0.028063999488949776,0.02239398076198995,0.9723697946902613,1.0004251068058747
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,2,distinct,8,True,2,0.011008000001311302,0.009375999681651592,0.0059755099937319756,1.023809532058909,0.9761145994143606
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,8,distinct,8,True,8,0.09009600058197975,0.08841600269079208,0.07811327930539846,1.0005330530981287,1.0140539365169385
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,8,distinct,8,True,8,0.02940800040960312,0.026335999369621277,0.02254200982861221,0.9766206240566385,1.007038133599097
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,8,distinct,8,True,8,0.010879999957978725,0.0063680000603199005,0.005965234013274312,1.0119047660294544,0.974435992139242
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,64,distinct,8,True,8,0.09139200299978256,0.08867199718952179,0.07856132462620735,1.0149254040075002,1.0198703882821742
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,64,distinct,8,True,8,0.029632000252604485,0.028384000062942505,0.022356209810823202,0.9840595135905609,0.9987377333881351
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,64,distinct,8,True,8,0.010847999714314938,0.006783999968320131,0.006000554421916604,1.008928552867455,0.9802056698017657
