impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,context_len,dtype_label,median_ms,p50_ms,p95_ms,min_ms,std_ms,op_call_ms,eff_gbps,note,gpu,torch
compile,gqa,32,8,128,32,128,bf16,0.0347680002450943,0.034752000123262405,0.04201599955558777,0.02800000086426735,0.004911035975583517,0.024856370000634342,23.090657913616294,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,32,128,fp16,0.1109280027449131,0.11091200262308121,0.11910399794578552,0.10659199953079224,0.0059259639555307286,0.09646763999626273,7.237270843559069,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,32,128,fp16,0.03412799909710884,0.03411199897527695,0.03884800150990486,0.03171199932694435,0.003765573844948061,0.025435060015297495,23.523676196651405,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,32,128,fp32,0.08987199887633324,0.08985599875450134,0.09753599762916565,0.08611200004816055,0.004220947184208308,0.0761486800001876,17.68346114329622,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,32,128,fp32,0.03246399946510792,0.0323840007185936,0.040352001786231995,0.030432000756263733,0.003973673987928908,0.024597579995315755,48.95416541970169,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,32,2048,bf16,0.11100800335407257,0.11097600311040878,0.11980800330638885,0.10704000294208527,0.005166792657703146,0.09709751999253058,7.232055128848031,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,32,2048,bf16,0.03319999948143959,0.0331839993596077,0.0424639992415905,0.03097599931061268,0.0035229912790611185,0.02606162999654771,24.18120519697035,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,32,2048,fp16,0.11220799759030342,0.11219199746847153,0.16390399634838104,0.10726399719715118,0.02214914580407485,0.10042687999884947,7.154712830107364,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,32,2048,fp16,0.03497600182890892,0.03497600182890892,0.04755200073122978,0.025728000327944756,0.00599309730503703,0.02691945001060958,22.95333823251472,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
eager,gqa,32,8,128,32,2048,fp32,0.09339200332760811,0.09334400296211243,0.10143999755382538,0.09014400094747543,0.004072628282978143,0.07936222000353155,17.01696016119395,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
compile,gqa,32,8,128,32,2048,fp32,0.035472000017762184,0.03545600175857544,0.039455998688936234,0.03200000151991844,0.007609446798823259,0.026900909997493727,44.80288676150775,,NVIDIA RTX PRO 4000 Blackwell,2.11.0+cu128
