impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,seed,validation,validation_detail,device_median_ms,device_p95_ms,device_min_ms,device_std_ms,amortized_call_ms,synchronized_call_ms,logical_read_bytes,logical_write_bytes,logical_total_bytes,logical_eff_gbps,pct_of_empirical_bw
eager,mha,32,32,128,32,128,fp16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.1035039983689785,0.11264000087976456,0.09763199836015701,0.0034748983772651893,0.08898656989913434,0.09962198964785784,802816,786432,1589248,15.35445997298128,2.7790419072456634
compile,mha,32,32,128,32,128,fp16,ragged,1234,pass,q_maxdiff=1.95e-03 k_maxdiff=9.77e-04 sets=3,0.026127999648451805,0.033215999603271484,0.024351999163627625,0.00333027267286145,0.01918590016430244,0.0234990002354607,802816,786432,1589248,60.82547540504769,11.008954106898958
eager,mha,32,32,128,32,128,fp32,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.08350400254130363,0.09212800115346909,0.08153600245714188,0.004192971078825896,0.06989945017267019,0.07989500591065735,1589248,1572864,3162112,37.86778961207186,6.853785444222083
compile,mha,32,32,128,32,128,fp32,uniform,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=2.38e-07 sets=2,0.02598400041460991,0.031647998839616776,0.024800000712275505,0.002621649748211886,0.018849770131055266,0.02314800804015249,1589248,1572864,3162112,121.69457933898636,22.025804649775008
eager,mha,32,32,128,32,128,fp32,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.08283199742436409,0.09529600292444229,0.08032000064849854,0.004808911559866556,0.06986038002651185,0.07929398270789534,1589248,1572864,3162112,38.17500601609181,6.909389305436811
compile,mha,32,32,128,32,128,fp32,ragged,1234,pass,q_maxdiff=4.77e-07 k_maxdiff=4.77e-07 sets=3,0.025824000127613544,0.030559999868273735,0.024639999493956566,0.002657775612506785,0.018678049964364618,0.02263797796331346,1589248,1572864,3162112,122.44857436392128,22.16227208502419
eager,mha,32,32,128,32,2048,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=2,0.10150399804115295,0.11286400258541107,0.09907200187444687,0.004325964241403724,0.08764825004618615,0.09709750884212554,802816,786432,1589248,15.656999041118244,2.833799205803291
compile,mha,32,32,128,32,2048,bf16,uniform,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=1.22e-04 sets=2,0.02587199956178665,0.03244800120592117,0.024288000538945198,0.0029717733132020334,0.018934620020445436,0.023118001990951598,802816,786432,1589248,61.42733561063228,11.117886282733618
eager,mha,32,32,128,32,2048,bf16,ragged,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 sets=3,0.10230399668216705,0.1125440001487732,0.10000000149011612,0.005013198080530811,0.08770946005824953,0.0996015005512163,802816,786432,1589248,15.534564157228345,2.8116394115912176
compile,mha,32,32,128,32,2048,bf16,ragged,1234,pass,q_maxdiff=1.22e-04 k_maxdiff=7.81e-03 sets=3,0.02550400048494339,0.031328000128269196,0.02239999920129776,0.0026095342442493943,0.019236189837101847,0.022952997824177146,802816,786432,1589248,62.31367510121531,11.278307072048996
