head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,impl,spread,tensor_mode,position_sets,fresh_args,distinct_slots_per_request,device_median_ms,device_min_ms,amortized_call_ms,device_median_ratio,amortized_call_ratio
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,1,distinct,8,False,1,0.010623999871313572,0.006432000081986189,0.005918964743614197,1.0030211711469714,1.002877055864117
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,2,distinct,8,False,2,0.08988799899816513,0.08601599931716919,0.07876541931182146,0.9996441254010943,1.0171084092005773
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,2,distinct,8,False,2,0.029472000896930695,0.028063999488949776,0.022709100740030408,0.983449041648001,0.9960758928621579
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,2,distinct,8,False,2,0.01071999967098236,0.0060800001956522465,0.00589837902225554,1.0120845966609024,0.9993891236794755
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,8,distinct,8,False,8,0.08921600133180618,0.08748800307512283,0.07769315969198942,0.9921708416819554,1.0032621771141355
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,8,distinct,8,False,8,0.02993600070476532,0.028896000236272812,0.022691109916195273,0.9989322172876752,0.9952867719665287
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,8,distinct,8,False,8,0.010591999627649784,0.008320000022649765,0.006180255440995097,1.0,1.0471487244184445
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,64,distinct,8,False,8,0.09030400216579437,0.08860799670219421,0.07779880426824093,1.0042704951868686,1.0046263796770198
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,64,distinct,8,False,8,0.03030399978160858,0.027871999889612198,0.022885228972882032,1.011211951558671,1.0038013016665086
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,64,distinct,8,False,8,0.01065600011497736,0.005439999978989363,0.005860404344275594,1.0060423422939428,0.9929549016660729
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,512,distinct,8,False,8,0.08953599631786346,0.08755200356245041,0.0781212153378874,0.9957295048131315,1.0087897170022306
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,512,distinct,8,False,8,0.029791999608278275,0.028543999418616295,0.022670725593343377,0.9941270552346572,0.9943926664351149
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,512,distinct,8,False,8,0.010735999792814255,0.0060800001956522465,0.005938904359936714,1.0135951822343883,1.0062555155405595
mha,32,32,128,1,2048,bf16,ragged,packed,identity,eager,2048,distinct,8,False,8,0.08958399668335915,0.08787199854850769,0.07785962079651654,0.99626331671149,1.0054117116522439
mha,32,32,128,1,2048,bf16,ragged,packed,identity,compile,2048,distinct,8,False,8,0.02953599952161312,0.027775999158620834,0.022609459701925516,0.9855846070726504,0.9917053967719676
mha,32,32,128,1,2048,bf16,ragged,packed,identity,graph_compile,2048,distinct,8,False,8,0.01071999967098236,0.008191999979317188,0.00592502998188138,1.0120845966609024,1.003904716706846
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,1,shared,8,False,1,0.07452800124883652,0.07212799787521362,0.06343042012304068,1.0,1.0
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,1,shared,8,False,1,0.025728000327944756,0.02380800060927868,0.018915620166808367,1.0,1.0
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,1,shared,8,False,1,0.010816000401973724,0.009184000082314014,0.005850939778611064,1.0,1.0
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,1,distinct,8,False,1,0.07395199686288834,0.0719040036201477,0.06339801475405693,0.9922713023790213,0.9994891194332169
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,1,distinct,8,False,1,0.025855999439954758,0.024831999093294144,0.0190685095731169,1.0049750898001573,1.0080827065124098
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,1,distinct,8,False,1,0.010672000236809254,0.007391999941319227,0.006036484846845269,0.9866863757569578,1.0317120112759477
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,2,distinct,8,False,2,0.0737760029733181,0.07100799679756165,0.06354489014483988,0.9899098558539411,1.0018046549522637
mha,32,32,128,32,2048,fp32,ragged,packed,identity,compile,2,distinct,8,False,2,0.025887999683618546,0.022304000332951546,0.01903189462609589,1.0062188803495935,1.006147007513481
mha,32,32,128,32,2048,fp32,ragged,packed,identity,graph_compile,2,distinct,8,False,2,0.010784000158309937,0.006463999859988689,0.005902735283598304,0.9970413977002119,1.0088525103568124
mha,32,32,128,32,2048,fp32,ragged,packed,identity,eager,8,distinct,8,False,8,0.07388799637556076,0.07148800045251846,0.06338057573884726,0.9914125581989125,0.9992141880174097
