model_id,batch,ctx,dtype_label,mode,rung,description,numerically_valid,layer_types_forced,max_cache_len,amortized_step_ms,synchronized_step_ms,error,unique_graphs,calls_captured,cudagraph_manager,peak_mem_gb,saving_vs_full_pct,per_layer_us
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_static_graph,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,604,71.59702002691726,72.20814446918666,,1,2795,True,17.998794752,-0.6003699861974113,2237.4068758411645
mistralai/Mistral-7B-v0.1,32,256,bf16,hf_static_graph,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,604,88.37761298753321,88.91675854101777,,1,2699,True,19.855929344,-24.178639860992224,2761.800405860413
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_eager,full,unmodified decode step,True,True,860,107.53147977249077,108.21397393010557,,0,0,False,20.046101504,0.0,3360.3587428903365
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_eager,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,860,105.89778569992632,106.10846744384617,,0,0,False,20.046101504,1.5192705206149242,3309.3058031226974
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_eager,rope_removed,"RoPE skipped, cache write kept",False,True,860,106.8414876346166,107.32188692782074,,0,0,False,20.046101504,0.6416652494079116,3338.7964885817687
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_eager,append_removed,"cache write skipped, RoPE kept",False,True,860,107.03752309394379,107.28754755109549,,0,0,False,20.046101504,0.4593600679466756,3344.9225966857434
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_eager,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,860,109.62107200020303,110.24366761557758,,0,0,False,20.046101504,-1.943237675268028,3425.6585000063446
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_eager,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,860,108.49876022121559,108.92732592765242,,0,0,False,20.046101504,-0.8995323516158622,3390.586256912987
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_compile,full,unmodified decode step,True,True,860,90.05473366628091,90.578218922019,,1,2123,False,20.046101504,0.0,2814.2104270712784
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_compile,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,860,87.64740532729775,87.97080791555345,,1,1451,False,20.046101504,2.673183564013511,2738.9814164780546
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_compile,rope_removed,"RoPE skipped, cache write kept",False,True,860,89.84185899297397,90.37894743960351,,1,1611,False,20.046101504,0.23638365762737068,2807.5580935304365
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_compile,append_removed,"cache write skipped, RoPE kept",False,True,860,87.74747765312591,88.10222300235182,,1,1963,False,20.046101504,2.5620596710719057,2742.1086766601848
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_compile,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,860,90.35085121945788,90.98141954746097,,1,2795,False,20.046101504,-0.3288195313244757,2823.4641006080587
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_compile,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,860,115.18727242015302,115.92349165584892,,1,2699,False,22.105385472,-27.908070715090528,3599.602263129782
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_static_graph,full,unmodified decode step,True,True,860,88.77437911462039,89.31352698709816,,1,2123,True,20.046101504,0.0,2774.199347331887
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_static_graph,op_removed,RoPE skipped and cache write skipped -- upper bound on a fused kernel,False,True,860,86.97749595313023,87.232097517699,,1,1451,True,20.046101504,2.0241010744441534,2718.0467485353197
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_static_graph,rope_removed,"RoPE skipped, cache write kept",False,True,860,88.747466566662,89.29460088256747,,1,1611,True,20.046101504,0.03031567015933867,2773.3583302081875
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_static_graph,append_removed,"cache write skipped, RoPE kept",False,True,860,87.16232815912613,87.43060345295817,,1,1963,True,20.046101504,1.8158966264499206,2723.8227549726917
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_static_graph,op_doubled,RoPE and cache write applied twice -- the Amdahl slope,False,True,860,89.15796586001913,89.75544350687414,,1,2795,True,20.046101504,-0.43209172423890396,2786.186433125598
mistralai/Mistral-7B-v0.1,32,512,bf16,hf_static_graph,op_replaced_ref,HF's pair replaced by fused_rope_kv_append_ref,True,True,860,114.08707795354226,114.64521195739508,,1,2699,True,22.121377792,-28.513518304914946,3565.2211860481957
mistralai/Mistral-7B-v0.1,32,1024,bf16,,skipped,not run,False,True,1372,,,weights 14.5 + KV 5.8 + reserve 3.0 = 23.2 GB > 22.5 GB budget,,,,,,
mistralai/Mistral-7B-v0.1,8,1024,bf16,hf_eager,full,unmodified decode step,True,True,1372,58.542906873238586,58.8846446480602,,0,0,False,18.090585088,0.0,1829.4658397887058
