impl,head_label,num_q_heads,num_kv_heads,head_dim,num_requests,cache_alloc_len,dtype_label,position_mode,layout,request_mapping,seed,validation,validation_detail,validation_cases,device_median_ms,device_p95_ms,device_min_ms,device_std_ms,amortized_call_ms,synchronized_call_ms,logical_read_bytes,logical_write_bytes,logical_total_bytes,logical_eff_gbps,pct_of_empirical_bw,pct_of_scattered_write_bw
graph_compile,mha,32,32,128,1,128,bf16,ragged,packed,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.010863999836146832,0.016256000846624374,0.007584000006318092,0.0018712556784517592,0.006017510313540697,0.011325988452881575,25088,24576,49664,4.571428640375834,0.8268288527856411,1.252964582746113
eager,mha,32,32,128,1,128,bf16,ragged,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.09057599678635597,0.10857599973678589,0.08819200098514557,0.0064236672319114676,0.0781082408502698,0.08846150012686849,25088,24576,49664,0.5483130383554464,0.09917272610725265,0.1502849265215268
compile,mha,32,32,128,1,128,bf16,ragged,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.041759999468922615,0.04947200044989586,0.031231999397277832,0.007432930548540536,0.02851317054592073,0.03669946454465389,25088,24576,49664,1.189272045775754,0.21510221828114467,0.3259628159665478
graph_eager,mha,32,32,128,1,128,bf16,ragged,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.03167999908328056,0.032575998455286026,0.03049599938094616,0.0007187103511974468,0.030795859638601538,0.03572204150259495,25088,24576,49664,1.567676813040398,0.28354383778771547,0.42967826437960777
graph_compile,mha,32,32,128,1,128,bf16,ragged,strided,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.010784000158309937,0.013824000023305416,0.006047999951988459,0.0016371495653967102,0.00610506976954639,0.01161749241873622,25088,24576,49664,4.605341178684044,0.8329625731934742,1.2622595346646264
eager,mha,32,32,128,1,128,bf16,ragged,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.09132800251245499,0.09939199686050415,0.08921600133180618,0.003810393308382979,0.07967037032358348,0.08982402505353093,25088,24576,49664,0.5437981630357787,0.09835612598621825,0.14904746241214653
compile,mha,32,32,128,1,128,bf16,ragged,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.042287999764084816,0.04982399940490723,0.03209599852561951,0.006889908181115426,0.029103680280968547,0.04001054912805557,25088,24576,49664,1.1744230107137776,0.21241649099737409,0.32189290336717236
graph_eager,mha,32,32,128,1,128,bf16,ragged,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.03167999908328056,0.03244800120592117,0.030559999868273735,0.0013558823190944558,0.030792049365118146,0.03570696571841836,25088,24576,49664,1.567676813040398,0.28354383778771547,0.42967826437960777
graph_compile,mha,32,32,128,1,128,bf16,ragged,strided,permuted,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=5,ragged[0]|ragged[1]|uniform|permuted-requests|strided-qkv,0.010863999836146832,0.014527999795973301,0.00723200011998415,0.001690311982401012,0.0060011702589690685,0.011381460353732109,25088,24576,49664,4.571428640375834,0.8268288527856411,1.252964582746113
eager,mha,32,32,128,1,128,fp16,uniform,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.09110400080680847,0.09955199807882309,0.08611200004816055,0.004614852692907235,0.07943552918732166,0.0895840348675847,25088,24576,49664,0.5451352252390705,0.09859795883424449,0.14941393244098097
compile,mha,32,32,128,1,128,fp16,uniform,packed,identity,1234,pass,q_maxdiff=0.00e+00 k_maxdiff=0.00e+00 cases=4,uniform[0]|uniform[1]|permuted-requests|strided-qkv,0.030112000182271004,0.036448001861572266,0.028255999088287354,0.0026753096334443905,0.022908539976924658,0.028659007512032986,25088,24576,49664,1.6493092355000913,0.29830859679900606,0.4520525683865397
