head_label,num_q_heads,num_kv_heads,head_dim,num_requests,ctx,dtype_label,arm,rung_index,is_baseline_rung,cache_read_bytes,gqa_path,device_median_ms,amortized_call_ms,read_gbps,error,vs_head_major,ordering_drift,unit_key,run_segment
mha,32,32,128,32,2048,bf16,token_major_view,1,False,1073741824,none,1.868079960346222,1.8895171210169792,568.2625534623834,,1.0341884675598891,1.0111248990275308,mha_b32_ctx2048_bf16,0
mha,32,32,128,32,2048,bf16,token_major_copy,2,False,1073741824,none,6.001024007797241,6.008676189230755,178.6985669030474,,3.288725754895295,1.0111248990275308,mha_b32_ctx2048_bf16,0
mha,32,32,128,32,2048,bf16,read_floor,3,False,1073741824,n/a,1.7450720071792603,1.744955349713564,615.3405725689518,,0.9550655450581043,1.0111248990275308,mha_b32_ctx2048_bf16,0
mha,32,32,128,32,2048,bf16,head_major,4,True,1073741824,none,1.8273279666900635,1.847378759412095,581.2245152919832,,1.0111248990275308,1.0111248990275308,mha_b32_ctx2048_bf16,0
mha,32,32,128,32,8192,bf16,head_major,0,True,4294967296,none,7.304464101791382,7.336367788957432,585.4351116999214,,1.0,1.021057296468767,mha_b32_ctx8192_bf16,0
mha,32,32,128,32,8192,bf16,token_major_view,1,False,4294967296,none,7.6212639808654785,7.638917230069637,562.2481781964336,,1.0412396774283315,1.021057296468767,mha_b32_ctx8192_bf16,0
mha,32,32,128,32,8192,bf16,token_major_copy,2,False,4294967296,none,23.878592491149902,23.940718000521883,179.40010386933147,,3.263293047624605,1.021057296468767,mha_b32_ctx8192_bf16,0
mha,32,32,128,32,8192,bf16,read_floor,3,False,4294967296,n/a,6.932608127593994,6.93294492084533,619.5011420163306,,0.9450105447658544,1.021057296468767,mha_b32_ctx8192_bf16,0
mha,32,32,128,32,8192,bf16,head_major,4,True,4294967296,none,7.458431959152222,7.4908518604934216,573.3616651333818,,1.021057296468767,1.021057296468767,mha_b32_ctx8192_bf16,0
gqa,32,8,128,1,128,bf16,head_major,0,True,524288,enable_gqa,0.015231999568641186,0.008359299972653389,62.719127404825244,,1.0,1.0023733445636176,gqa_b1_ctx128_bf16,0
gqa,32,8,128,1,128,bf16,token_major_view,1,False,524288,enable_gqa,0.015456000342965126,0.008473909692838788,61.870850528778966,,1.0137104447214877,1.0023733445636176,gqa_b1_ctx128_bf16,0
gqa,32,8,128,1,128,bf16,token_major_copy,2,False,524288,enable_gqa,0.024288000538945198,0.016687939641997218,31.41717978656669,,1.9963321924790518,1.0023733445636176,gqa_b1_ctx128_bf16,0
gqa,32,8,128,1,128,bf16,read_floor,3,False,524288,n/a,0.014607999939471483,0.01289262087084353,40.66574246247088,,1.5423086757288822,1.0023733445636176,gqa_b1_ctx128_bf16,0
gqa,32,8,128,1,128,bf16,head_major,4,True,524288,enable_gqa,0.015440000221133232,0.008379139471799135,62.57062575035847,,1.0023733445636176,1.0023733445636176,gqa_b1_ctx128_bf16,0
gqa,32,8,128,1,512,bf16,head_major,0,True,2097152,enable_gqa,0.018352000042796135,0.010777240386232734,194.59081590858673,,1.0,1.0219396453435612,gqa_b1_ctx512_bf16,0
gqa,32,8,128,1,512,bf16,token_major_view,1,False,2097152,enable_gqa,0.0180479995906353,0.010847080266103148,193.33792583369618,,1.0064803119692525,1.0219396453435612,gqa_b1_ctx512_bf16,0
gqa,32,8,128,1,512,bf16,token_major_copy,2,False,2097152,enable_gqa,0.027248000726103783,0.01967255026102066,106.60295549760585,,1.8253791839097457,1.0219396453435612,gqa_b1_ctx512_bf16,0
gqa,32,8,128,1,512,bf16,read_floor,3,False,2097152,n/a,0.01462399959564209,0.012865669559687376,163.00372011505004,,1.1937814411305592,1.0219396453435612,gqa_b1_ctx512_bf16,0
gqa,32,8,128,1,512,bf16,head_major,4,True,2097152,enable_gqa,0.01833599992096424,0.011013689218088984,190.41321744902865,,1.0219396453435612,1.0219396453435612,gqa_b1_ctx512_bf16,0
gqa,32,8,128,1,2048,bf16,head_major,0,True,8388608,enable_gqa,0.01913600042462349,0.01668774988502264,502.68059251827765,,1.0,0.9935575766386776,gqa_b1_ctx2048_bf16,0
gqa,32,8,128,1,2048,bf16,token_major_view,1,False,8388608,enable_gqa,0.01929599978029728,0.016814980190247297,498.8770670610365,,1.0076241737862364,0.9935575766386776,gqa_b1_ctx2048_bf16,0
gqa,32,8,128,1,2048,bf16,token_major_copy,2,False,8388608,enable_gqa,0.03759999945759773,0.03693107049912214,227.14229202209015,,2.2130647183457617,0.9935575766386776,gqa_b1_ctx2048_bf16,0
gqa,32,8,128,1,2048,bf16,read_floor,3,False,8388608,n/a,0.016672000288963318,0.015180209884420037,552.6015821829652,,0.9096618770661448,0.9935575766386776,gqa_b1_ctx2048_bf16,0
gqa,32,8,128,1,2048,bf16,head_major,4,True,8388608,enable_gqa,0.01945599913597107,0.016580240335315466,505.9400726618233,,0.9935575766386776,0.9935575766386776,gqa_b1_ctx2048_bf16,0
gqa,32,8,128,1,8192,bf16,head_major,0,True,33554432,enable_gqa,0.03200000151991844,0.03156069084070623,1063.171657723103,,1.0,1.006640802817307,gqa_b1_ctx8192_bf16,0
gqa,32,8,128,1,8192,bf16,token_major_view,1,False,33554432,enable_gqa,0.03167999908328056,0.031686120200902224,1058.9630976355563,,1.0039742273332692,1.006640802817307,gqa_b1_ctx8192_bf16,0
gqa,32,8,128,1,8192,bf16,token_major_copy,2,False,33554432,enable_gqa,0.16512000560760498,0.16447095898911357,204.01432694401075,,5.211259785764348,1.006640802817307,gqa_b1_ctx8192_bf16,0
gqa,32,8,128,1,8192,bf16,read_floor,3,False,33554432,n/a,0.0230880007147789,0.02218576963059604,1512.4303803157504,,0.7029557667977712,1.006640802817307,gqa_b1_ctx8192_bf16,0
gqa,32,8,128,1,8192,bf16,head_major,4,True,33554432,enable_gqa,0.031647998839616776,0.03177027916535735,1056.1579212243155,,1.006640802817307,1.006640802817307,gqa_b1_ctx8192_bf16,0
gqa,32,8,128,32,128,bf16,head_major,0,True,16777216,enable_gqa,0.030400000512599945,0.029435590840876102,569.9636229724362,,1.0,1.0024303756617565,gqa_b32_ctx128_bf16,0
gqa,32,8,128,32,128,bf16,token_major_view,1,False,16777216,enable_gqa,0.030400000512599945,0.029328289674595,572.048905208847,,0.9963547133515629,1.0024303756617565,gqa_b32_ctx128_bf16,0
gqa,32,8,128,32,128,bf16,token_major_copy,2,False,16777216,enable_gqa,0.06984000280499458,0.07010720088146627,239.30802812062166,,2.3817154294763134,1.0024303756617565,gqa_b32_ctx128_bf16,0
gqa,32,8,128,32,128,bf16,read_floor,3,False,16777216,n/a,0.017616000026464462,0.017136289970949292,979.0459911942422,,0.5821622560112762,1.0024303756617565,gqa_b32_ctx128_bf16,0
gqa,32,8,128,32,128,bf16,head_major,4,True,16777216,enable_gqa,0.03030399978160858,0.02950713038444519,568.5817557116358,,1.0024303756617565,1.0024303756617565,gqa_b32_ctx128_bf16,0
